# Dihedral Angle (Degree),  Occurrence,  Occurrence
169.5000000,  108.5041646,  100.4271543
170.5000000,  109.6428617,  102.4396907
171.5000000,  111.0184368,  102.7714346
172.5000000,  111.5088848,  104.6296627
173.5000000,  112.5443314,  105.2276632
174.5000000,  113.9581528,  106.7251570
175.5000000,  113.0380937,  107.0759419
176.5000000,  113.5739183,  106.0405485
177.5000000,  115.1419496,  107.1988198
178.5000000,  117.2848569,  107.9803672
179.5000000,  116.4520755,  108.9574572
180.5000000,  115.3148135,  108.5104023
181.5000000,  114.3709474,  108.2681600
182.5000000,  112.7027105,  107.9375439
183.5000000,  114.0506259,  107.9397462
184.5000000,  113.8392330,  106.6939938
185.5000000,  110.5065145,  105.9492772
186.5000000,  111.7147293,  105.5548948
187.5000000,  108.6312989,  104.4934742
188.5000000,  107.9340178,  103.8175164
189.5000000,  107.5087847,  102.8220975
190.5000000,  105.5533803,  100.4302808
191.5000000,  102.5584105,  99.99928741
192.5000000,  101.2639965,  96.63960542
193.5000000,  100.0702320,  95.68211533
194.5000000,  97.85065977,  94.84164808
195.5000000,  96.57874068,  92.61972080
196.5000000,  95.17241795,  90.99765448
197.5000000,  92.85848360,  89.37035475
198.5000000,  92.64596109,  89.68875856
199.5000000,  91.91139650,  88.71162567
200.5000000,  89.50635673,  87.75212249
201.5000000,  88.24922730,  86.66971091
202.5000000,  87.81015014,  85.64108203
203.5000000,  87.68983351,  85.79441325
204.5000000,  85.25336543,  84.13927159
205.5000000,  85.22995474,  85.07179014
206.5000000,  84.51757033,  83.44780117
207.5000000,  84.16626624,  84.17652356
208.5000000,  85.06540761,  84.74187485
209.5000000,  84.43091327,  84.99761721
210.5000000,  84.49273730,  84.28655775
211.5000000,  86.26320865,  83.96341636
212.5000000,  88.69577690,  86.29187887
213.5000000,  89.58224264,  87.19987440
214.5000000,  90.82976250,  88.73740479
215.5000000,  91.02861677,  89.97274062
216.5000000,  92.82536806,  91.74489403
217.5000000,  94.75235851,  94.21473214
218.5000000,  96.59095172,  94.22084253
219.5000000,  99.00040653,  96.27469127
220.5000000,  100.4176677,  98.71948334
221.5000000,  103.4562405,  100.6270795
222.5000000,  106.0834004,  103.2049780
223.5000000,  107.5871892,  106.8691519
224.5000000,  109.9535700,  108.2708672
225.5000000,  113.4805378,  110.0642781
226.5000000,  115.9630974,  112.9085344
227.5000000,  117.1592494,  115.7318801
228.5000000,  121.6352919,  116.9704082
229.5000000,  122.8215198,  120.2741537
230.5000000,  125.3643911,  122.6253643
231.5000000,  127.7879558,  124.0266989
232.5000000,  128.0080329,  124.4980107
233.5000000,  129.9945585,  126.5366511
234.5000000,  130.6011777,  127.4528450
235.5000000,  134.5504762,  129.2904320
236.5000000,  135.6591978,  131.0030199
237.5000000,  134.3826472,  131.9607847
238.5000000,  135.2373504,  130.7697367
239.5000000,  134.6314158,  130.2856357
240.5000000,  133.7879526,  128.1380743
241.5000000,  134.4711095,  128.4865304
242.5000000,  134.0351390,  126.2234238
243.5000000,  132.5685397,  125.2949847
244.5000000,  129.7536057,  124.4711712
245.5000000,  127.4913947,  122.2696251
246.5000000,  124.8710508,  119.0938280
247.5000000,  122.5772517,  117.0058804
248.5000000,  119.0273003,  114.2109086
249.5000000,  116.4189929,  112.9908005
250.5000000,  112.7771052,  109.4893929
251.5000000,  110.2372321,  106.9099376
252.5000000,  107.3053128,  102.4093694
253.5000000,  103.8137750,  100.5105165
254.5000000,  99.79400595,  97.98721605
255.5000000,  99.32873765,  96.01413106
256.5000000,  96.58914301,  92.10372826
257.5000000,  91.07447043,  90.04195162
258.5000000,  89.28382636,  87.83226624
259.5000000,  87.62540925,  86.26831596
260.5000000,  85.20368187,  83.98767404
261.5000000,  83.40965227,  82.96274563
262.5000000,  80.83880063,  81.67417368
263.5000000,  80.56851901,  79.41318715
264.5000000,  79.56967138,  78.15001874
265.5000000,  79.64780893,  78.19333398
266.5000000,  77.72803741,  77.86212206
267.5000000,  77.70463001,  77.63963082
268.5000000,  78.29085041,  76.80020135
269.5000000,  77.27470203,  78.69024463
270.5000000,  78.95473180,  79.09386230
271.5000000,  79.73801133,  80.54508959
272.5000000,  79.84426222,  81.44378708
273.5000000,  80.85385086,  82.72792153
274.5000000,  84.47461930,  83.52159507
275.5000000,  85.35797834,  83.61840350
276.5000000,  86.85089797,  86.19052366
277.5000000,  89.50724461,  88.42094080
278.5000000,  90.53505678,  90.83488214
279.5000000,  93.29158480,  93.40812031
280.5000000,  96.33642373,  93.85123959
281.5000000,  98.52411055,  96.50560341
282.5000000,  101.1718623,  99.50301318
283.5000000,  101.7223924,  100.4967092
284.5000000,  104.2536480,  102.4952848
285.5000000,  107.9426173,  105.8691850
286.5000000,  109.8651396,  106.3728695
287.5000000,  111.7377397,  109.5726784
288.5000000,  112.3961487,  112.8293265
289.5000000,  116.0480385,  113.6189466
290.5000000,  116.9341772,  114.9768407
291.5000000,  117.7906371,  116.4103771
292.5000000,  119.7089141,  116.8030355
293.5000000,  121.2388817,  118.6423899
294.5000000,  121.8962576,  120.9303798
295.5000000,  122.1630744,  121.9719524
296.5000000,  123.7912115,  123.4052899
297.5000000,  123.0743860,  122.7752142
298.5000000,  123.6943483,  122.5510151
