# Dihedral Angle (Degree),  Occurrence,  Occurrence
91.50000000,  79.40737171,  78.33991795
92.50000000,  78.45870628,  78.14291262
93.50000000,  78.78119154,  79.43217119
94.50000000,  79.62719486,  78.55651540
95.50000000,  81.55331146,  78.62738344
96.50000000,  81.80190669,  79.83258594
97.50000000,  83.67408988,  81.20222729
98.50000000,  84.37963238,  82.38133582
99.50000000,  85.93461424,  84.85388801
100.5000000,  88.23509375,  86.13707342
101.5000000,  89.98409739,  88.32355120
102.5000000,  92.19692105,  91.14817639
103.5000000,  95.30353996,  93.73325547
104.5000000,  97.20037240,  95.78940494
105.5000000,  101.0867186,  100.3787032
106.5000000,  103.3957626,  103.4168601
107.5000000,  106.2281816,  104.8523253
108.5000000,  109.5165425,  107.1827868
109.5000000,  113.0129450,  111.9907457
110.5000000,  115.3705093,  115.1063205
111.5000000,  116.3967152,  118.3570334
112.5000000,  119.4678429,  120.7156350
113.5000000,  123.1199146,  122.2841287
114.5000000,  126.6009775,  125.7056533
115.5000000,  128.4448253,  125.3537286
116.5000000,  129.0395446,  127.2155932
117.5000000,  129.5100418,  131.0651565
118.5000000,  130.6268709,  133.2447378
119.5000000,  132.4343589,  132.0678103
120.5000000,  131.8521379,  132.4802682
121.5000000,  132.9163147,  133.5279368
122.5000000,  131.6281873,  132.4356175
123.5000000,  131.6110091,  132.6883256
124.5000000,  130.8213473,  130.7612482
125.5000000,  129.8337825,  130.2207328
126.5000000,  128.0191851,  130.1130598
127.5000000,  126.7106409,  128.4687192
128.5000000,  124.6383433,  126.7499457
129.5000000,  123.5305165,  125.1346409
130.5000000,  122.4626672,  122.9513743
131.5000000,  119.8236140,  121.9892503
132.5000000,  116.4557980,  119.4267696
133.5000000,  116.4048697,  116.9571162
134.5000000,  113.4984519,  114.8644123
135.5000000,  110.4438755,  113.2537515
136.5000000,  106.0328535,  110.8947972
137.5000000,  104.2851763,  106.7207289
138.5000000,  100.8693899,  104.4599888
139.5000000,  101.1377080,  102.4487699
140.5000000,  97.38504792,  99.68930862
141.5000000,  96.13512031,  98.58389880
142.5000000,  95.38628837,  97.60976125
143.5000000,  93.27796354,  95.80028977
144.5000000,  91.48667452,  95.34195694
145.5000000,  91.63250855,  93.32525990
146.5000000,  89.79983504,  91.74048103
147.5000000,  87.99103267,  91.16566285
148.5000000,  88.33103840,  90.07158438
149.5000000,  87.43808587,  89.86709343
150.5000000,  89.03579476,  89.68648274
151.5000000,  87.24546387,  89.10709155
152.5000000,  88.10347859,  87.56705033
153.5000000,  88.64095171,  88.56715573
154.5000000,  88.21591571,  90.04048865
155.5000000,  89.56230593,  90.58692126
156.5000000,  89.37029212,  91.88740366
157.5000000,  90.80704403,  92.58406899
158.5000000,  92.65137806,  93.11658815
