Distance [pm],  g(O-O),  g(O-H),  g(H-H)
850.0000000,  0.9932851618,  1.003170877,  1.002573291
854.0000000,  0.9910015536,  1.002404769,  1.002106204
858.0000000,  0.9909236910,  1.001594966,  1.003100117
862.0000000,  0.9895344016,  0.9999905420,  1.001931109
866.0000000,  0.9889001675,  1.000980374,  1.001419187
870.0000000,  0.9877287584,  1.000581678,  0.9998636815
874.0000000,  0.9859145414,  0.9999517853,  1.001130692
878.0000000,  0.9868045330,  1.000162213,  1.000822902
882.0000000,  0.9874853071,  1.000581283,  1.000309522
886.0000000,  0.9880204678,  0.9999024300,  0.9994379966
890.0000000,  0.9881555527,  0.9989079730,  1.000082023
894.0000000,  0.9889756625,  0.9996558578,  0.9992893086
898.0000000,  0.9914591842,  0.9989041481,  0.9993226783
902.0000000,  0.9919686198,  0.9989181912,  0.9999122712
906.0000000,  0.9921816792,  0.9985386698,  0.9989184976
910.0000000,  0.9936362656,  0.9974683011,  0.9988618266
914.0000000,  0.9961846400,  0.9974580362,  0.9980509037
918.0000000,  0.9966373469,  0.9975381448,  0.9995083113
922.0000000,  0.9972765427,  0.9975198977,  0.9988481826
926.0000000,  0.9996413748,  0.9969983041,  0.9996903794
930.0000000,  1.001391664,  0.9965831808,  0.9998848789
934.0000000,  1.002967202,  0.9964298584,  1.000952810
938.0000000,  1.003594731,  0.9967135704,  1.000669448
942.0000000,  1.005235176,  0.9967544054,  1.000688040
946.0000000,  1.006214123,  0.9964646217,  1.000124047
950.0000000,  1.007033376,  0.9967981721,  1.000176943
954.0000000,  1.008254079,  0.9962807916,  1.000158796
958.0000000,  1.008959409,  0.9974853099,  1.000103506
962.0000000,  1.009715830,  0.9979523941,  1.000715087
966.0000000,  1.009238774,  0.9978617641,  1.000404315
970.0000000,  1.008912558,  0.9983978899,  1.000839445
974.0000000,  1.010043358,  0.9978254262,  1.000720179
978.0000000,  1.009484928,  0.9979485106,  1.001255029
982.0000000,  1.009080750,  0.9983127424,  0.9995630670
986.0000000,  1.008944696,  0.9989467507,  1.000514182
990.0000000,  1.008136333,  0.9989277506,  1.000199811
994.0000000,  1.006270517,  0.9989862051,  1.000225290
998.0000000,  1.006075676,  0.9993691598,  0.9992919399
1002.000000,  1.004899384,  1.000122259,  0.9992488850
1006.000000,  1.004291345,  0.9998036337,  0.9988365879
1010.000000,  1.003887724,  0.9999268437,  0.9986644263
1014.000000,  1.002962792,  0.9996016353,  0.9988419320
1018.000000,  1.001303154,  0.9998205721,  0.9984432199
1022.000000,  1.000009099,  0.9996202899,  0.9989838420
1026.000000,  0.9987663836,  0.9992397065,  0.9974043087
1030.000000,  0.9980048546,  0.9994328164,  0.9979749125
1034.000000,  0.9974554141,  0.9993175121,  0.9978239452
1038.000000,  0.9973630597,  0.9991932344,  0.9979207219
1042.000000,  0.9962272510,  0.9992530647,  0.9973318324
1046.000000,  0.9959079834,  0.9992640654,  0.9962945100
1050.000000,  0.9946678433,  0.9986036451,  0.9970760838
1054.000000,  0.9938661320,  0.9987930010,  0.9973758326
1058.000000,  0.9933513096,  0.9991445279,  0.9969475709
1062.000000,  0.9930683957,  0.9980049174,  0.9967177835
1066.000000,  0.9923467233,  0.9976629999,  0.9970715094
1070.000000,  0.9920393520,  0.9982915679,  0.9963092945
1074.000000,  0.9923311697,  0.9979125703,  0.9959708924
1078.000000,  0.9912570731,  0.9980804010,  0.9962779445
1082.000000,  0.9913457317,  0.9977905609,  0.9974779084
1086.000000,  0.9923373157,  0.9970925483,  0.9970128104
1090.000000,  0.9917956515,  0.9976495911,  0.9960968925
1094.000000,  0.9917885187,  0.9978534212,  0.9963488492
