# Distance [pm],  g(r),  g(r)
134.1250000,  2.109414013,  2.146538686
134.3750000,  2.652629780,  2.597436301
134.6250000,  3.236086325,  3.408713416
134.8750000,  4.137726013,  4.016110254
135.1250000,  4.897176044,  4.828229847
135.3750000,  5.869400691,  6.194432329
135.6250000,  7.176806786,  7.555768416
135.8750000,  9.103386715,  8.663943669
136.1250000,  10.76927736,  10.62432486
136.3750000,  12.62500353,  12.88628561
136.6250000,  14.96492706,  15.35897155
136.8750000,  17.88245645,  18.40865273
137.1250000,  20.90588330,  21.68958202
137.3750000,  24.45947272,  24.59005525
137.6250000,  28.63873594,  28.22439953
137.8750000,  33.05037350,  32.69865134
138.1250000,  37.91432961,  37.76207302
138.3750000,  42.30473412,  43.05852853
138.6250000,  47.49635631,  47.73882982
138.8750000,  53.12869713,  53.64245311
139.1250000,  59.15486393,  59.51886000
139.3750000,  65.53557581,  66.16273756
139.6250000,  72.84700999,  73.11016322
139.8750000,  78.46269664,  78.96250401
140.1250000,  85.10369672,  85.78570617
140.3750000,  91.71819477,  91.80969129
140.6250000,  97.38752555,  98.22791901
140.8750000,  104.5106498,  104.0317206
141.1250000,  110.1658417,  110.3507319
141.3750000,  114.5029080,  115.5069597
141.6250000,  119.3829326,  118.9701679
141.8750000,  122.4623679,  123.0457172
142.1250000,  125.9016793,  126.1966879
142.3750000,  128.9811703,  127.7498630
142.6250000,  130.3261132,  129.5428212
142.8750000,  130.5302546,  130.3163424
143.1250000,  130.2128404,  130.0254261
143.3750000,  130.0510179,  130.1275164
143.6250000,  128.4250030,  127.7461415
143.8750000,  125.1574422,  124.7784306
144.1250000,  121.7711982,  120.7514856
144.3750000,  117.4356145,  116.8037230
144.6250000,  111.9575799,  111.5662104
144.8750000,  106.7020462,  106.3796931
145.1250000,  101.0056390,  101.1098601
145.3750000,  95.35422702,  94.97708796
145.6250000,  89.80936684,  88.54221820
145.8750000,  82.93310451,  82.46679751
146.1250000,  75.86171955,  75.61463162
146.3750000,  70.45636977,  69.55526523
146.6250000,  63.41530971,  62.83367974
146.8750000,  56.77068372,  56.99561835
147.1250000,  51.02066082,  51.70469021
147.3750000,  45.44924659,  45.23146678
147.6250000,  40.23495028,  39.83636910
147.8750000,  35.59099876,  35.65231845
148.1250000,  30.58904265,  30.69489988
148.3750000,  26.45112339,  26.56759352
148.6250000,  23.02659418,  23.17376321
148.8750000,  19.66176358,  19.98124023
149.1250000,  16.77037257,  16.79686583
149.3750000,  14.06746924,  14.26788307
149.6250000,  11.70383653,  12.19155237
149.8750000,  9.937131236,  9.959713402
150.1250000,  8.275564602,  8.041109591
150.3750000,  6.492210515,  6.650409466
150.6250000,  5.470493527,  5.686717383
150.8750000,  4.553854912,  4.463254534
151.1250000,  3.426966575,  3.584440433
151.3750000,  2.924148534,  2.931071207
151.6250000,  2.257627650,  2.475314607
151.8750000,  1.781479913,  1.922225755
152.1250000,  1.329358523,  1.342343710
152.3750000,  1.082971496,  1.016623603
152.6250000,  0.8349955358,  0.8679209008
152.8750000,  0.6507427288,  0.7012484432
153.1250000,  0.5282683160,  0.5009233949
153.3750000,  0.3612728873,  0.3587923153
153.6250000,  0.3139218245,  0.2357551431
153.8750000,  0.2609484335,  0.1609314953
154.1250000,  0.1649631676,  0.1329482915
154.3750000,  0.09938326240,  0.07800381205
154.6250000,  0.07786881187,  0.06908321235
154.8750000,  0.06443794453,  0.06369657702
155.1250000,  0.04457184658,  0.02461692984
155.3750000,  0.02021035955,  0.03686406863
155.6250000,  0.01036451454,  0.03008457993
155.8750000,  0.005975818637,  0.01339079638
156.1250000,  0.0009297161960,  0.008875613632
156.3750000,  0.004410821264,  0.002103596082
156.6250000,  0.002726044104,  0.005569013554
156.8750000,  0.0009768298397,  0.007574836405
157.1250000,  0.003056460942,  0.001520548283
157.3750000,  0.000000000,  8.552767315E-05
157.6250000,  0.000000000,  0.003947763109
157.8750000,  0.000000000,  0.000000000
158.1250000,  0.000000000,  0.000000000
158.3750000,  0.000000000,  0.000000000
158.6250000,  0.000000000,  0.000000000
158.8750000,  0.000000000,  0.000000000
159.1250000,  0.000000000,  0.000000000
159.3750000,  0.000000000,  0.000000000
159.6250000,  0.000000000,  0.000000000
159.8750000,  0.000000000,  0.000000000
160.1250000,  0.000000000,  0.000000000
160.3750000,  0.000000000,  0.000000000
160.6250000,  0.000000000,  0.000000000
160.8750000,  0.000000000,  0.000000000
161.1250000,  0.000000000,  0.000000000
161.3750000,  0.000000000,  0.000000000
161.6250000,  0.000000000,  0.000000000
161.8750000,  0.000000000,  0.000000000
162.1250000,  0.000000000,  0.000000000
162.3750000,  0.000000000,  0.000000000
162.6250000,  0.000000000,  0.000000000
162.8750000,  0.000000000,  0.000000000
163.1250000,  0.000000000,  0.000000000
163.3750000,  0.000000000,  0.000000000
163.6250000,  0.000000000,  0.000000000
163.8750000,  0.000000000,  0.000000000
164.1250000,  0.000000000,  0.000000000
164.3750000,  0.000000000,  0.000000000
164.6250000,  0.000000000,  0.000000000
164.8750000,  0.000000000,  0.000000000
165.1250000,  0.000000000,  0.000000000
165.3750000,  0.000000000,  0.000000000
165.6250000,  0.000000000,  0.000000000
165.8750000,  0.000000000,  0.000000000
166.1250000,  0.000000000,  0.000000000
166.3750000,  0.000000000,  0.000000000
166.6250000,  0.000000000,  0.000000000
166.8750000,  0.000000000,  0.000000000
167.1250000,  0.000000000,  0.000000000
167.3750000,  0.000000000,  0.000000000
167.6250000,  0.000000000,  0.000000000
167.8750000,  0.000000000,  0.000000000
168.1250000,  0.000000000,  0.000000000
168.3750000,  0.000000000,  0.000000000
168.6250000,  0.000000000,  0.000000000
168.8750000,  0.000000000,  0.000000000
169.1250000,  0.000000000,  0.000000000
169.3750000,  0.000000000,  0.000000000
169.6250000,  0.000000000,  0.000000000
169.8750000,  0.000000000,  0.000000000
