Distance [pm],  g(O-O),  g(O-H),  g(H-H)
166.5000000,  0.000000000,  1.516917985,  0.04006933825
169.5000000,  0.000000000,  1.643835904,  0.05990242941
172.5000000,  0.000000000,  1.683936111,  0.08666446259
175.5000000,  0.000000000,  1.637313886,  0.1203928022
178.5000000,  0.000000000,  1.538369859,  0.1638971921
181.5000000,  0.000000000,  1.399676644,  0.2158545487
184.5000000,  0.000000000,  1.244983009,  0.2752464378
187.5000000,  0.000000000,  1.089113054,  0.3425455488
190.5000000,  0.000000000,  0.9405595489,  0.4187471965
193.5000000,  0.000000000,  0.8066392314,  0.5003814523
196.5000000,  0.000000000,  0.6885050837,  0.5865894405
199.5000000,  0.000000000,  0.5870124986,  0.6746379578
202.5000000,  0.000000000,  0.5010879762,  0.7655868165
205.5000000,  0.000000000,  0.4277320738,  0.8571209351
208.5000000,  0.000000000,  0.3679721308,  0.9430176417
211.5000000,  0.000000000,  0.3185282592,  1.025783028
214.5000000,  0.000000000,  0.2786083281,  1.104489469
217.5000000,  0.000000000,  0.2458923925,  1.173693202
220.5000000,  0.000000000,  0.2200445613,  1.236070024
223.5000000,  0.000000000,  0.1999543184,  1.284414831
226.5000000,  0.000000000,  0.1822147200,  1.322392480
229.5000000,  0.000000000,  0.1707412143,  1.350106730
232.5000000,  0.000000000,  0.1623632886,  1.367863471
235.5000000,  1.948235557E-06,  0.1575961157,  1.369347725
238.5000000,  0.0001379055618,  0.1554036095,  1.361800021
241.5000000,  0.001373473291,  0.1566141470,  1.343484478
244.5000000,  0.009515746574,  0.1617643008,  1.309284071
247.5000000,  0.04370998134,  0.1696229720,  1.271013644
250.5000000,  0.1494998792,  0.1818887053,  1.226382824
253.5000000,  0.3824257611,  0.1991945418,  1.171919532
256.5000000,  0.7878402009,  0.2202686370,  1.114830212
259.5000000,  1.341859135,  0.2469003873,  1.056351010
262.5000000,  1.963451770,  0.2779359978,  0.9968711295
265.5000000,  2.534089344,  0.3150384734,  0.9406199099
