#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2700,7813.4335595645025,9790.538703117663,17603.972262682168,314.0079337406501,24.723652123241333,1.042183418414876,80.1
2800,7789.732552054724,9738.096115303892,17527.828667358615,312.32596412296493,24.818241705920332,1.0382113523921925,79.5
2900,7861.956847722395,9557.785242962485,17419.74209068488,306.5429274411458,24.965097902698183,1.032104115350377,79.2
3000,7775.801846649978,9447.422735794598,17223.224582444578,303.0033159969675,24.937008473083214,1.0332666932888954,79
3100,7488.405611690949,9731.384084643121,17219.789696334068,312.11069191548967,24.8495099049822,1.036904968509411,79.2
3200,7363.769470444786,9776.46810746034,17140.237577905125,313.55665329502466,24.832233495640168,1.037626369372845,79.3
3300,7486.120576360205,9685.216559270055,17171.33713563026,310.6299798027129,24.793520899711403,1.039246518867749,79.1
3400,7741.755740000932,9511.884833788317,17253.64057378925,305.07078243669974,24.838090592771845,1.0373816855712015,79.3
3500,7315.535952775783,9856.457908209875,17171.993860985658,316.12213337894383,24.70167276651549,1.0431107451325285,79.3
3600,7480.829146259464,9822.699948496302,17303.529094755766,315.03942817768825,24.698112134545582,1.0432611264024427,79.4
3700,7330.176619062222,9647.558962004134,16977.735581066358,309.42220312507783,24.736788189823592,1.0416299839645273,79.5
3800,7346.197123441358,9567.808100818154,16914.005224259512,306.86438645181624,24.626731916336542,1.0462850033465945,79.4
3900,7243.6350260182735,9578.631662633077,16822.26668865135,307.2115261122862,24.394694472327817,1.0562370565750778,79.6
4000,7090.699205910161,9749.85609829031,16840.55530420047,312.703137235739,24.366306216714193,1.057467638152932,79.7
4100,7136.4560253918025,9450.301273720088,16586.75729911189,303.0956381636619,24.33075629139563,1.0590127153019078,79.4
4200,7006.0642319972685,9522.944128672578,16529.008360669846,305.4254826672528,24.10273902369831,1.0690312109410316,79.2
4300,6932.862167973668,9477.249461658344,16410.11162963201,303.9599363467488,24.143871392839063,1.0672099708558789,79.2
4400,6885.700359732175,9524.57001559975,16410.270375331922,305.4776290720604,24.207210341936538,1.06441758143696,79.1
4500,6775.410624991833,9485.286824891551,16260.697449883384,304.21771540243844,24.310520185888418,1.0598942387278345,78.8
4600,6759.968105555621,9387.210836116372,16147.178941671993,301.0721644252426,24.062198308713562,1.070832346858728,78.7
4700,6674.65134260022,9584.59080720291,16259.24214980313,307.40265131284735,23.93363270256931,1.0765845956486906,78.8
4800,6642.39382347669,9623.131596933314,16265.525420410004,308.63875426029017,24.01281839556264,1.0730344044188207,78.8
4900,6593.660182873522,9673.565062113585,16267.225244987107,310.2562861114839,23.868486134848162,1.0795230221107515,78.8
5000,6730.897213365817,9584.330195640137,16315.227409005955,307.39429282504426,23.729027627895483,1.0858675159199975,78.9
5100,6739.490281691709,9422.704651537288,16162.194933228997,302.21054301490534,23.50629348351251,1.0961566655999053,78.8
5200,6527.841205748693,9605.224701555897,16133.06590730459,308.06443374661075,23.559899761075698,1.0936625599770127,78.8
5300,6616.363807943591,9373.186312953632,15989.550120897224,300.6223616438464,23.738353264141416,1.0854409317609335,78.8
5400,6470.036427663792,9560.334634166627,16030.37106183042,306.62469301999533,23.62746417046234,1.0905351543273831,78.7
5500,6512.297395491587,9597.59030165959,16109.887697151176,307.81957876881205,23.959267823348874,1.0754327083563762,78.6
5600,6545.654536790644,9381.849448691604,15927.503985482248,300.9002108445169,23.885970200718265,1.0787328322432992,78.4
