Distance [pm],  g(O-O),  g(O-H),  g(H-H)
166.5000000,  0.000000000,  1.532382800,  0.04238922577
169.5000000,  0.000000000,  1.633648943,  0.06352137577
172.5000000,  0.000000000,  1.649874919,  0.09116383914
175.5000000,  0.000000000,  1.592268255,  0.1260331777
178.5000000,  0.000000000,  1.487589238,  0.1698642198
181.5000000,  0.000000000,  1.355162949,  0.2214155770
184.5000000,  0.000000000,  1.206335045,  0.2826764857
187.5000000,  0.000000000,  1.055119907,  0.3514406417
190.5000000,  0.000000000,  0.9125064523,  0.4274333199
193.5000000,  0.000000000,  0.7855301013,  0.5080027296
196.5000000,  0.000000000,  0.6713288428,  0.5953314033
199.5000000,  0.000000000,  0.5747536058,  0.6825456738
202.5000000,  0.000000000,  0.4907184396,  0.7715083027
205.5000000,  0.000000000,  0.4205080376,  0.8597374763
208.5000000,  0.000000000,  0.3644022677,  0.9468565884
211.5000000,  0.000000000,  0.3174432070,  1.027954418
214.5000000,  0.000000000,  0.2779771818,  1.102550141
217.5000000,  0.000000000,  0.2474567348,  1.171343738
220.5000000,  0.000000000,  0.2217911652,  1.230757730
223.5000000,  0.000000000,  0.2020617633,  1.279754942
226.5000000,  0.000000000,  0.1865500655,  1.316449691
229.5000000,  0.000000000,  0.1746694180,  1.344095584
232.5000000,  0.000000000,  0.1660804220,  1.358849537
235.5000000,  5.361991214E-06,  0.1617479528,  1.361590353
238.5000000,  0.0001761452307,  0.1602527917,  1.350901648
241.5000000,  0.001652579430,  0.1615969553,  1.331218810
244.5000000,  0.01169111628,  0.1665355426,  1.299588880
247.5000000,  0.05243898823,  0.1749255259,  1.260479109
250.5000000,  0.1686805561,  0.1881465680,  1.214949851
253.5000000,  0.4195648515,  0.2050468216,  1.161942382
256.5000000,  0.8397460234,  0.2269688747,  1.105958681
259.5000000,  1.395116767,  0.2528892932,  1.048523711
262.5000000,  2.003127682,  0.2843128240,  0.9889769733
265.5000000,  2.553178503,  0.3221523106,  0.9342395799
